age,job,marital,education,balance,housing,duration,campaign,subscribed
44,7,0,0,-2326,0,177,3,0
58,0,1,2,4139,0,134,2,0
51,11,1,3,4521,1,87,21,0
40,1,0,1,3955,1,7,28,0
46,7,2,3,5716,1,130,23,0
53,7,0,3,-389,0,229,16,0
30,6,2,0,6256,1,415,1,0
38,9,0,1,1089,0,298,13,0
48,1,2,1,1533,1,313,19,0
52,2,2,1,287,1,158,15,0
40,2,1,2,3598,0,60,12,0
54,7,1,1,3884,1,298,3,0
39,10,1,0,5150,1,140,28,0
54,10,2,2,-403,1,241,28,0
66,11,2,1,1375,1,1107,26,0
46,1,2,2,-748,0,441,5,0
48,11,1,1,2693,1,595,17,1
30,7,1,1,-722,1,256,15,1
59,8,1,2,679,0,153,9,0
56,8,0,0,-1831,1,109,2,0
37,1,2,1,-753,1,116,24,0
26,6,2,3,1646,1,43,29,0
57,8,2,2,3473,0,215,18,1
66,11,0,3,2846,1,261,14,0
19,1,0,2,1634,0,4,11,0
43,9,0,1,4486,1,191,13,0
39,4,2,3,2672,1,239,14,0
44,4,2,2,1930,0,139,2,0
33,4,1,2,5534,1,187,11,0
49,4,0,2,3714,1,616,14,0
65,0,1,2,347,1,224,21,0
36,11,0,1,-2628,0,173,18,0
37,2,1,1,506,0,73,7,1
46,11,1,1,-2968,0,959,14,1
43,9,1,2,-1555,1,52,18,0
49,3,0,0,-675,0,109,21,0
27,11,1,0,2838,1,48,2,0
42,0,1,2,1830,1,845,4,0
59,4,2,2,3350,0,49,5,1
40,2,1,3,-526,1,115,21,0
38,9,2,2,1422,0,19,23,0
48,7,1,2,2733,0,644,5,0
45,9,0,1,-602,1,319,2,0
33,0,2,3,6708,0,116,21,0
40,2,1,3,5049,1,927,6,0
28,10,1,2,-1523,0,366,15,0
42,9,1,2,5331,1,3,13,0
53,6,1,1,3589,1,354,19,0
30,8,1,0,7330,0,400,23,1
23,7,2,0,922,0,169,8,0
25,2,1,1,2097,1,75,23,0
27,6,1,3,2818,0,427,12,0
54,8,1,0,-6734,0,203,5,0
33,6,0,0,-163,1,0,14,0
29,11,2,1,3313,1,51,29,0
45,9,1,1,3980,0,482,20,0
50,1,1,2,3612,1,89,2,0
47,6,0,1,-1158,1,97,1,0
36,10,1,1,2037,1,106,28,0
30,8,2,3,-96,1,435,4,0
54,2,2,2,218,1,319,26,0
35,8,0,2,-861,1,150,7,0
36,10,2,2,6013,0,166,13,0
37,2,2,2,6384,1,34,5,0
25,9,1,1,370,0,38,1,0
45,3,1,1,3362,1,180,7,0
60,2,0,3,-3980,0,18,6,0
53,3,2,1,2455,1,57,22,0
45,4,2,2,1818,0,442,22,0
41,5,0,0,4821,1,115,8,0
46,4,1,2,580,1,396,4,0
38,7,1,0,3835,1,344,2,0
32,7,2,1,6378,1,224,13,1
40,2,0,0,6841,1,324,9,0
48,11,0,0,260,1,104,5,0
43,9,2,0,3446,1,35,24,0
47,3,1,0,-1644,0,285,23,0
29,6,1,0,2297,0,378,12,0
18,1,1,0,-99,1,279,14,0
49,1,2,1,2346,0,80,25,0
27,1,2,1,-1454,0,108,24,0
25,0,2,1,-1562,1,231,3,0
40,8,2,3,1718,0,172,12,0
49,10,1,2,3730,0,229,18,0
19,7,0,2,1936,0,415,10,1
49,8,1,2,-635,0,49,1,0
46,6,0,0,1600,1,870,19,0
46,9,2,2,-1593,0,63,20,0
33,4,2,3,-962,0,37,8,0
42,6,1,2,2841,1,895,28,0
24,7,2,0,7373,0,17,28,0
33,2,2,0,3301,1,325,2,0
44,2,1,3,-7787,0,44,22,0
19,11,0,2,-4370,0,212,16,0
27,11,0,0,-6828,1,35,13,0
49,0,1,3,-4972,1,657,25,0
53,4,2,1,-1377,0,606,11,0
33,0,1,1,3207,1,37,5,0
60,8,1,3,1917,1,25,4,0
58,3,1,0,8105,0,100,22,0
34,5,1,1,-1430,0,100,13,0
64,7,1,3,-1398,1,207,13,0
29,0,2,1,-4042,0,440,4,0
39,8,1,2,7522,0,164,7,0
41,3,2,3,1811,1,266,6,0
51,8,0,1,1727,1,17,3,0
34,2,1,2,4029,1,347,22,0
50,10,2,2,-2132,1,232,3,1
44,6,2,1,-3359,0,471,14,0
33,1,1,0,-654,1,70,20,0
44,2,2,1,5245,0,110,28,0
51,0,2,1,2442,0,468,28,0
57,4,2,0,-3545,1,46,20,0
63,8,0,0,5897,1,141,25,0
56,1,2,0,283,0,161,25,0
51,1,2,1,576,1,491,3,0
50,2,2,1,7443,0,17,5,0
43,3,2,0,-4039,0,99,21,0
49,6,1,3,2312,0,73,22,0
43,2,1,1,4039,1,311,28,0
30,3,1,2,1813,0,54,14,0
40,7,0,1,-4285,1,578,3,0
40,4,2,0,2168,1,101,17,0
48,1,1,3,3050,0,234,28,0
41,0,1,3,3594,1,35,24,0
47,10,1,1,7167,1,451,8,1
53,5,1,3,2105,1,146,18,0
24,3,1,3,305,1,674,3,1
52,4,1,1,6862,0,86,6,0
54,11,0,2,4071,1,153,15,0
54,6,2,0,5898,0,288,8,0
51,7,0,0,-2883,1,190,19,0
42,11,2,3,-153,0,409,22,0
57,1,2,3,5354,0,54,12,0
52,0,1,2,-508,0,1165,5,0
44,11,1,2,234,1,173,25,0
40,7,2,0,2420,1,218,11,0
32,10,2,1,3647,0,188,14,0
28,9,1,3,2573,0,71,13,0
36,2,1,3,-1489,1,0,26,0
63,0,1,1,8217,1,146,28,0
50,3,2,1,5836,0,372,11,0
45,3,0,2,-3392,1,293,17,0
48,4,1,3,974,1,129,24,0
18,8,2,1,-1442,1,284,6,0
47,1,2,2,-184,1,479,4,0
39,11,2,3,-2010,1,224,10,0
49,9,1,1,1031,0,106,27,0
36,8,2,2,-3588,1,105,3,0
33,10,0,3,953,1,143,16,0
51,8,1,3,4139,1,113,8,0
36,2,1,3,-666,1,296,25,0
49,6,0,3,-1278,0,35,25,0
44,2,0,0,3925,1,42,7,0
48,0,2,2,1929,0,380,13,0
51,8,1,0,1685,0,217,17,0
44,7,0,3,1376,1,165,2,0
39,10,1,0,-4649,1,489,9,0
52,6,0,0,-6316,1,127,7,0
53,2,1,2,363,1,231,27,0
31,5,1,0,1967,1,309,28,0
40,5,1,2,-2851,1,96,18,0
25,11,2,3,-986,1,104,18,0
47,4,1,1,-1148,1,10,11,0
34,9,1,3,939,1,162,13,0
43,10,1,0,-3360,1,90,18,0
35,3,1,2,2462,0,610,25,0
53,2,2,3,-2947,0,275,21,0
30,1,2,1,5611,0,12,22,0
49,4,0,1,2472,1,363,7,0
38,2,2,3,-4519,1,16,1,0
36,0,0,2,3503,1,325,6,0
47,5,1,2,-1888,0,110,24,0
53,10,2,3,234,1,177,11,0
46,4,0,1,-2299,1,120,19,0
36,3,1,3,3236,1,276,19,0
47,1,2,3,-414,1,35,14,0
45,9,0,1,1780,1,98,1,0
27,11,0,2,379,0,303,14,0
30,0,2,1,3379,0,43,8,0
18,3,0,2,-626,1,2,24,0
43,6,2,1,3725,1,56,15,1
36,9,0,3,4240,0,33,12,0
48,5,0,0,-1558,0,156,5,0
53,1,0,2,-25,0,3,8,0
55,1,2,1,-2604,1,1037,26,1
42,6,0,3,-143,1,177,8,0
35,2,2,2,768,0,45,9,0
60,1,0,3,-2561,1,103,20,0
59,6,2,3,1527,0,402,22,0
51,2,2,3,3788,1,171,13,0
32,3,0,0,2637,1,27,24,0
35,7,1,1,4423,1,361,5,1
41,9,1,3,-602,0,115,29,0
38,10,0,3,3963,1,746,23,1
35,10,2,1,4143,1,15,22,0
26,5,1,1,1961,1,190,13,0
40,10,1,2,1155,1,438,8,0
38,3,2,3,619,0,252,17,0
25,7,0,0,-4435,0,18,18,0
31,2,1,1,2851,0,34,15,0
27,3,2,3,-414,0,854,24,0
45,10,0,0,-609,0,322,7,0
52,6,1,3,2688,1,747,10,1
50,1,2,1,4559,0,107,6,0
51,5,2,2,4638,1,582,24,0
28,0,2,3,606,1,336,27,1
54,6,0,0,-1600,1,30,9,0
50,4,0,3,250,1,48,14,0
30,7,0,2,-5198,0,1018,28,0
44,2,2,3,-109,1,368,9,0
71,5,1,2,1597,0,125,25,0
23,9,1,0,2140,0,42,12,0
35,9,0,0,2463,0,568,18,0
28,7,1,2,1426,1,140,14,0
29,5,2,3,3043,0,142,16,0
45,8,0,1,4255,1,197,20,0
47,7,2,1,4819,0,316,12,0
45,2,1,2,-2292,1,13,6,0
40,5,2,1,3351,0,44,25,0
40,1,0,0,-2384,0,141,19,0
50,8,2,1,3112,1,623,20,0
37,9,1,0,2910,1,227,21,1
40,8,1,3,7902,1,420,16,0
44,4,2,0,1824,0,45,26,0
39,0,2,1,-3590,1,1,24,0
45,10,1,0,2657,0,184,18,0
45,10,0,3,-1994,1,119,14,0
18,8,2,0,-367,1,591,25,0
55,3,0,2,432,0,52,13,0
63,1,2,1,5790,1,174,25,1
39,11,0,3,479,0,186,4,0
39,6,1,1,717,0,137,28,0
48,2,1,3,-1824,1,99,6,0
25,4,2,3,877,1,221,29,1
47,5,2,0,3737,1,239,1,0
37,5,2,2,8127,0,225,13,0
48,2,2,0,3618,1,530,21,0
18,7,1,2,-372,1,612,21,0
28,1,2,2,-179,1,174,9,0
44,0,1,3,4643,0,90,1,1
41,0,2,0,-490,0,49,11,0
48,1,2,3,1975,0,71,27,0
53,3,0,0,-2315,1,20,3,0
29,4,1,3,-1384,0,81,28,0
41,3,2,0,7753,1,443,23,0
33,9,2,0,3935,1,0,3,0
46,7,1,0,-1903,1,168,21,0
43,3,2,2,4124,0,73,28,0
43,9,0,2,5527,0,195,4,0
36,11,2,2,98,0,208,3,0
40,9,2,1,-755,0,229,29,0
37,0,2,2,501,0,125,23,0
28,9,0,2,6424,0,110,17,0
21,6,1,3,181,1,279,16,0
59,3,2,2,-1867,0,21,14,0
40,8,0,0,-119,0,93,11,0
27,11,2,1,4159,1,322,3,1
43,10,0,1,4935,1,30,9,0
39,10,1,0,-3298,1,80,13,0
51,11,1,0,2997,1,126,6,0
35,4,2,1,582,0,153,29,1
34,3,1,2,6044,0,197,27,0
36,3,0,2,-3129,0,242,12,0
49,8,1,1,2017,0,514,7,0
43,1,2,1,5032,1,500,12,0
54,11,2,1,-91,1,341,8,0
43,9,2,3,4019,0,470,28,0
47,10,1,3,4396,1,154,12,0
53,2,2,3,-6709,0,248,22,0
51,0,2,2,1627,0,11,8,0
38,6,2,3,5859,0,371,16,0
54,7,1,3,-1717,1,59,27,0
37,7,2,0,-511,1,438,6,0
52,2,1,1,-4394,1,227,23,0
43,1,0,1,-710,0,148,14,0
48,1,2,1,466,1,252,16,0
63,6,0,2,4007,1,311,20,0
41,5,2,3,2236,1,99,12,0
38,0,2,3,5240,1,570,17,1
60,5,1,0,-2323,1,187,14,0
44,3,2,1,5827,1,215,23,0
45,6,0,3,3819,0,173,27,0
39,1,0,0,4450,0,113,17,1
39,8,2,3,-128,1,255,17,0
55,11,0,2,2485,0,111,23,0
48,4,2,3,2435,1,747,3,0
40,11,1,0,-1818,1,178,4,0
54,11,0,1,1119,1,84,1,0
40,5,1,0,3138,0,692,5,0
36,3,2,3,-1900,1,47,17,0
24,1,2,0,-85,1,759,7,0
41,4,0,2,5586,1,397,21,0
37,11,1,3,-2076,1,211,15,1
23,2,2,3,-1622,1,0,11,0
33,8,1,3,896,0,25,14,0
31,10,1,0,-5921,1,525,18,0
41,6,2,3,-1969,1,34,26,0
56,8,2,1,3540,1,76,24,0
34,9,0,3,5470,1,625,14,0
33,4,1,3,1233,1,42,22,0
40,4,1,1,123,1,823,9,1
30,1,0,2,-379,1,396,22,0
39,0,0,0,1203,1,0,2,0
41,1,1,1,-4214,0,26,3,0
61,3,0,2,2191,1,429,7,0
39,0,1,0,2934,1,55,23,0
37,9,2,1,4978,0,109,4,0
44,0,1,0,-1136,1,119,25,0
20,7,2,2,-570,0,21,15,0
45,0,0,0,2648,0,471,8,0
42,1,0,1,2991,1,110,4,1
21,8,2,3,4791,1,95,8,1
40,1,0,1,4719,1,97,3,0
45,2,2,1,858,0,137,25,0
39,2,2,3,-638,1,136,20,0
21,11,0,3,580,0,177,10,0
47,2,0,2,696,0,255,7,0
43,0,1,0,-2421,0,94,8,0
47,9,2,3,6288,0,151,6,0
34,8,1,3,529,1,193,4,0
49,5,0,0,-2623,1,465,14,0
43,5,2,2,2467,0,804,7,0
31,3,2,0,1838,0,10,4,0
40,3,0,3,5041,1,220,14,0
23,3,1,0,-1596,0,189,29,0
53,7,1,0,2122,0,236,8,0
43,5,1,3,1826,0,265,6,0
29,0,0,1,341,0,280,24,0
41,1,2,1,-3950,1,3,1,0
26,6,2,0,1746,1,351,27,0
42,6,2,2,1184,1,2,10,0
34,9,2,0,6080,0,12,29,0
60,10,2,2,-1626,1,111,17,0
38,4,2,3,2225,1,199,12,0
35,5,1,0,370,0,141,17,0
27,10,0,2,-3027,1,19,10,0
44,5,2,0,-2236,0,233,20,0
49,8,1,1,-2541,1,378,17,0
50,2,0,2,974,0,39,4,0
46,2,0,0,-2539,1,279,10,0
25,9,2,0,2937,0,27,22,0
42,7,1,1,5963,1,65,15,0
42,1,1,1,2352,0,119,26,0
37,2,1,0,-3062,0,31,6,0
54,7,2,2,3618,0,51,29,0
59,3,2,0,4057,0,144,11,0
48,3,1,3,982,1,1183,20,1
21,4,0,2,5039,1,191,7,0
50,0,2,3,5567,1,0,19,0
57,1,2,0,763,0,35,4,0
37,10,0,0,-723,1,613,26,0
46,8,1,0,42,0,214,13,0
54,1,1,0,2343,0,244,6,0
18,7,2,1,89,1,401,21,0
24,9,0,2,3221,1,878,1,0
29,5,0,3,3764,0,378,22,0
51,8,1,0,-301,1,80,8,0
31,1,2,2,3026,1,400,24,0
44,7,0,2,3127,1,2,14,0
37,8,0,0,3109,1,247,18,0
52,0,0,2,1616,1,405,17,0
32,0,0,3,-4007,1,495,6,0
35,7,0,0,1778,1,164,13,0
37,0,2,2,2188,1,46,29,0
37,7,1,0,-3509,0,27,28,0
55,10,1,1,111,1,971,29,0
42,2,1,1,3200,0,73,2,1
24,9,2,1,-3484,0,570,6,0
35,6,2,3,2930,1,21,3,0
53,9,0,3,-1223,0,94,24,0
67,11,2,0,4262,1,148,3,0
58,6,1,0,-1134,0,328,24,1
26,9,1,2,5609,1,50,6,0
36,1,2,0,3325,1,711,6,0
49,7,0,2,-1052,0,147,13,0
30,7,1,3,-3872,0,279,26,0
44,2,2,1,-5332,0,89,24,0
38,6,1,3,905,0,218,5,0
18,2,2,2,446,1,193,17,0
46,5,2,3,-1407,0,194,7,0
56,11,1,0,5028,0,464,23,0
47,9,2,3,1319,1,76,12,0
34,10,1,0,4221,1,225,20,0
35,3,2,3,-987,1,52,14,0
57,2,0,3,-3031,0,349,22,0
37,10,2,3,1724,1,152,11,0
51,1,0,0,1888,1,164,8,0
47,11,2,3,4063,1,311,6,0
34,9,0,1,1180,0,242,21,0
53,6,2,1,2534,0,222,12,0
37,10,0,0,-4748,1,465,5,0
48,0,2,1,3807,0,40,7,0
55,5,2,0,-1969,1,605,4,1
45,8,2,3,-2588,1,102,11,0
37,2,0,0,-2082,1,92,17,0
32,0,1,1,5360,0,60,13,0
57,0,0,2,4589,1,778,7,0
22,6,1,0,2264,1,176,4,0
30,2,2,2,3174,0,41,4,0
45,10,0,3,690,0,35,27,0
46,6,0,0,683,1,58,18,0
51,2,1,1,2840,0,232,27,0
46,7,1,1,5706,1,546,6,0
22,5,1,3,4834,1,60,24,0
46,7,0,1,-1689,0,55,22,0
50,0,0,3,-1991,0,154,21,0
47,4,0,3,1748,1,379,5,0
43,6,2,0,622,0,113,4,0
38,10,1,1,4639,1,59,5,0
28,11,2,0,-2816,0,896,9,0
21,11,0,3,-873,1,736,1,1
26,4,1,2,3049,1,283,17,0
43,7,0,2,6443,1,414,9,0
46,10,0,0,-505,1,330,25,0
32,8,2,3,3414,0,236,27,0
61,11,1,0,1304,1,140,25,0
50,10,2,1,2382,1,1351,22,0
44,9,1,3,-2372,1,164,7,0
37,5,2,3,4723,1,573,21,0
35,7,1,2,5035,0,142,14,0
33,5,1,1,-28,1,341,4,0
18,6,1,3,8560,0,19,4,0
48,5,0,3,3386,0,118,9,0
41,7,1,0,5288,1,69,6,0
40,11,0,0,1576,0,33,21,0
43,11,0,2,1385,1,201,25,0
64,7,1,0,-212,1,42,9,0
49,2,0,2,2971,1,83,8,0
51,5,0,1,4057,1,67,4,0
42,1,2,0,6405,1,345,23,0
29,7,1,3,3150,1,194,6,0
22,7,2,0,-1494,0,192,27,0
49,5,2,1,764,0,57,28,0
40,0,2,0,6483,0,229,6,0
23,7,0,1,95,1,149,8,0
35,2,1,3,807,0,229,4,0
31,6,2,0,1275,1,14,26,0
32,4,2,1,2816,1,52,3,0
31,0,0,3,143,0,294,1,0
46,9,2,3,-1267,1,45,2,0
61,9,0,0,-1324,0,299,6,0
40,9,1,3,-3417,0,1138,26,0
35,4,2,1,1153,0,113,18,0
38,8,2,1,-277,1,247,28,0
43,6,0,3,-2012,1,203,23,0
37,8,0,1,5694,1,57,11,0
26,11,1,2,-1434,1,107,26,0
31,11,2,0,4228,1,33,27,0
30,2,1,3,2010,1,155,23,0
44,2,2,2,3906,1,135,7,0
37,11,0,3,1858,1,3,22,0
20,4,0,0,4096,1,822,11,0
38,9,1,2,4200,1,137,24,0
31,3,2,2,308,1,223,15,1
36,5,0,0,-2329,1,153,29,0
63,5,2,2,5256,0,27,18,1
39,9,1,1,-2160,0,67,16,0
58,7,0,1,2086,1,163,27,0
30,2,1,0,-5728,1,238,10,0
32,8,2,2,125,1,111,15,0
32,6,0,0,-393,1,15,2,0
38,11,0,0,-2447,1,28,5,0
45,2,1,3,2470,1,332,18,0
40,5,2,2,-6942,1,90,6,0
31,4,0,2,-1159,0,192,1,0
31,1,0,3,358,0,379,19,0
41,2,1,0,4677,1,390,1,0
47,2,2,2,1860,0,8,28,0
24,4,0,0,1283,0,91,14,0
45,2,1,1,2348,1,465,14,0
33,10,2,1,2867,1,98,28,0
40,11,0,3,265,0,2,24,0
35,10,2,2,-173,0,341,26,0
36,6,1,3,260,0,86,8,0
41,0,2,3,-2839,1,42,5,0
44,8,0,0,-1011,0,147,18,1
45,9,2,1,3768,0,46,10,0
24,5,0,3,2462,1,110,24,0
33,9,0,2,3403,1,539,1,1
43,8,1,0,8356,1,122,9,0
53,0,2,2,2045,0,603,29,0
39,3,2,2,6501,1,92,6,0
29,9,2,2,5299,1,288,19,0
44,2,2,2,3801,0,7,8,0
41,3,2,1,995,0,394,3,0
30,6,0,1,-738,1,309,12,0
32,8,0,1,4050,0,292,19,0
64,8,1,2,6321,1,243,15,0
28,3,1,0,2343,1,510,15,0
34,6,2,3,-4474,1,124,24,0
31,0,2,0,-2327,0,1068,8,0
45,5,2,3,559,1,149,2,0
46,0,0,0,-327,0,762,2,0
62,6,2,1,-1538,0,295,17,0
51,3,2,0,6697,0,387,2,0
40,11,1,3,382,0,219,4,0
39,7,0,2,1840,1,602,21,0
34,10,0,1,799,1,178,16,0
39,7,0,3,316,1,125,10,0
45,2,1,2,-4,0,588,26,1
32,7,0,2,2973,0,248,10,0
39,5,0,2,1038,0,155,23,0
39,1,0,0,436,0,531,21,1
45,5,1,3,5232,1,302,5,0
20,11,1,2,1848,0,454,15,0
41,6,2,0,1662,1,152,29,0
47,11,2,0,3491,0,276,10,0
41,1,2,3,4382,1,676,26,0
35,0,2,3,2897,1,30,18,0
40,1,0,3,-1575,1,128,6,0
18,10,2,2,3750,0,88,26,0
24,6,1,3,6112,0,386,17,0
60,8,1,0,-710,1,445,6,0
30,0,0,2,1312,0,265,27,0
57,2,0,2,3659,0,68,29,0
38,9,0,1,-2495,1,266,7,0
45,1,0,1,5425,1,489,25,0
39,11,1,1,2601,0,853,29,0
43,5,0,0,667,0,337,4,1
51,6,2,2,-1145,0,653,13,0
26,8,0,1,595,1,0,7,0
46,9,0,2,-3522,0,153,10,0
43,6,1,0,6418,0,56,10,1
54,11,0,1,9484,0,129,1,0
38,2,0,3,59,1,17,1,0
37,5,0,1,1740,1,201,4,0
27,6,2,2,4285,1,407,16,0
40,0,0,2,2520,0,154,21,0
45,6,1,3,3166,1,32,9,0
29,8,0,1,3288,1,160,22,0
24,9,2,0,3722,1,83,26,0
46,0,1,3,2012,0,217,11,1
32,9,0,2,377,1,524,11,0
39,4,1,3,4944,1,121,20,0
40,0,0,2,-5268,1,114,8,0
38,1,2,3,-253,1,180,27,0
44,1,2,0,5067,0,207,18,0
18,2,0,2,1442,1,67,23,0
48,7,0,1,3382,0,651,21,0
24,4,2,3,-1967,0,15,11,0
47,6,1,3,-1584,0,125,20,0
39,0,0,0,-1220,1,181,28,0
26,9,1,0,-1175,0,327,2,0
43,3,0,2,-2054,1,7,9,0
34,2,2,1,384,1,66,20,0
35,4,2,3,2628,1,222,23,0
34,2,1,1,-75,1,131,17,0
53,1,2,3,-6203,0,795,16,0
42,7,1,2,-3757,0,339,3,0
57,1,0,2,491,1,112,11,0
39,6,2,2,6171,1,137,7,0
52,6,1,3,5048,0,642,28,0
40,7,2,0,-980,0,58,9,0
37,7,1,3,5251,1,98,5,0
37,5,1,0,909,0,431,19,0
46,11,1,3,569,1,12,18,0
41,10,0,1,-469,0,44,25,0
36,4,1,2,4904,1,189,16,1
25,8,0,0,-4671,0,664,23,0
45,5,0,3,-4867,0,11,5,0
57,11,0,1,4174,1,256,5,0
28,5,1,2,1447,1,789,14,0
35,7,2,1,-391,0,358,4,1
28,0,1,1,3324,1,121,4,0
48,9,0,1,222,0,109,17,0
42,6,2,2,-2319,0,25,17,0
72,3,0,2,3325,1,52,15,0
37,0,0,2,2433,1,489,14,0
39,5,2,0,867,1,340,21,0
42,7,0,3,2520,1,320,24,0
52,5,1,3,8960,1,92,8,0
44,8,0,3,428,0,309,9,0
32,8,1,1,4246,1,48,10,0
53,0,1,1,2931,1,245,18,0
56,7,0,0,-4300,0,280,21,0
78,8,1,1,1565,1,58,28,0
59,6,2,3,-3288,1,46,26,0
46,2,1,3,2582,1,15,25,0
32,4,0,1,-652,1,134,16,0
45,6,1,1,699,1,90,10,0
53,10,2,1,-1407,1,931,7,1
32,11,1,3,-3667,0,596,11,0
33,10,2,2,3189,0,44,18,0
43,11,2,3,1918,0,355,11,0
31,7,2,3,1920,0,645,2,1
41,5,1,0,4998,1,711,22,0
60,3,0,1,475,1,129,14,0
50,4,0,3,-2133,1,671,3,0
43,6,2,1,3126,1,189,10,0
49,6,1,0,4196,0,1,21,0
52,1,2,3,1089,0,603,22,1
20,4,1,0,-699,0,669,11,1
36,10,2,3,628,0,10,29,0
44,6,0,0,2946,1,1455,8,1
33,3,1,2,255,1,33,23,0
36,10,1,0,2764,0,227,16,0
50,2,2,3,2062,0,61,8,0
24,4,2,2,-699,1,24,6,0
32,5,1,0,-83,1,526,11,0
49,2,2,1,3065,0,67,10,0
35,11,2,3,118,0,635,28,0
46,5,0,3,-3571,1,478,23,0
40,2,0,1,-825,0,388,7,0
35,3,1,0,-2277,1,111,20,0
41,3,1,1,4387,1,244,29,0
55,0,2,2,-3977,1,64,23,0
39,1,2,1,1127,1,306,10,0
53,8,1,3,115,1,139,20,0
46,11,1,3,-1906,0,188,27,0
56,7,0,2,-1573,0,219,2,0
51,6,0,0,1861,0,576,9,1
41,3,1,0,1609,0,39,25,0
54,11,2,1,1783,0,302,13,1
38,6,0,3,-5032,0,53,29,0
48,10,1,3,-274,1,116,23,1
31,0,1,1,-334,0,71,20,0
55,3,2,3,1917,1,1387,21,1
54,8,1,1,1995,1,753,15,1
33,2,1,2,-878,1,814,17,0
45,10,2,2,-606,1,117,16,0
37,0,0,2,-1677,1,298,11,0
45,9,0,3,-1551,1,110,11,0
48,6,0,3,1352,0,324,15,0
34,0,1,3,-398,1,160,17,0
38,7,0,0,-790,1,7,21,0
26,10,1,1,73,0,561,1,0
66,1,0,2,525,1,662,29,0
44,1,1,1,2483,1,5,28,0
42,4,0,0,1284,1,72,20,0
43,9,1,1,9407,1,519,11,1
30,4,1,3,2264,0,164,15,0
51,0,1,3,-4630,1,332,13,0
48,9,2,0,2828,0,237,10,0
36,5,0,1,1559,1,221,24,0
18,4,2,3,3879,1,468,9,0
49,5,2,2,-626,0,436,11,0
30,2,1,2,494,0,332,15,0
35,6,0,2,7414,0,324,6,0
35,0,0,2,-1955,1,223,8,0
23,1,0,3,1688,0,253,18,0
41,5,1,3,6130,1,1030,2,1
36,1,2,2,-331,1,470,6,1
29,0,2,2,3776,0,21,29,0
38,0,2,0,-692,1,24,25,0
56,0,1,2,2779,1,0,14,0
35,8,2,2,-523,1,111,16,0
56,4,2,1,-119,0,136,4,0
36,7,1,3,4660,0,239,3,0
67,5,1,2,2197,0,122,4,0
51,6,1,3,-970,1,52,8,0
48,11,2,2,1060,1,5,10,0
49,0,1,2,3571,1,22,18,0
31,3,1,0,394,1,436,24,0
50,8,0,3,4427,1,37,6,0
34,0,0,3,414,1,317,17,0
47,8,1,1,1792,0,72,22,0
47,10,1,2,-2107,1,674,2,0
38,3,0,2,-1617,0,13,1,1
37,4,2,1,-4046,1,866,27,0
42,5,1,0,-636,1,22,17,0
32,1,2,0,-1620,1,104,1,0
44,2,2,2,3553,0,409,25,0
25,10,0,2,2185,1,64,9,0
55,8,1,2,2061,0,138,26,0
44,9,1,2,2834,1,26,8,0
50,9,2,3,515,0,219,26,0
26,4,1,1,3699,0,101,10,0
42,2,0,3,-613,0,1,19,0
49,0,1,0,1695,1,230,29,0
18,9,0,0,194,1,764,5,0
30,8,1,3,6526,1,477,26,1
33,4,0,2,-1203,1,182,17,0
26,4,0,3,2990,1,665,23,0
48,5,2,2,4852,1,79,25,0
33,5,0,1,3320,1,464,7,0
47,9,0,3,606,1,921,1,0
51,3,0,1,4986,1,234,27,0
46,5,1,0,3230,0,158,6,0
65,9,0,0,-2474,1,506,18,0
41,9,1,1,1319,0,456,6,0
42,4,0,1,-768,1,773,22,1
30,9,1,3,-1229,1,23,28,0
62,3,2,3,-4578,1,56,26,0
54,8,1,2,1812,1,99,16,0
48,1,2,3,7225,1,29,12,0
46,5,1,2,-381,1,0,3,0
51,0,1,0,3453,1,102,7,0
51,9,0,2,-2593,1,4,23,0
59,5,0,0,-153,1,189,28,0
44,0,0,1,-911,0,3,14,0
40,2,0,3,704,1,272,28,0
32,11,0,3,1960,1,96,13,0
70,3,2,3,748,1,932,16,0
33,3,1,3,2886,1,513,28,0
43,5,2,2,-334,1,753,5,1
37,4,1,0,-864,1,84,12,0
18,8,0,0,2567,0,324,15,0
30,11,0,3,1727,0,114,8,0
57,5,1,3,2355,0,212,12,0
62,0,0,2,2578,1,100,24,0
43,0,2,1,3960,0,271,3,0
40,0,0,1,5268,1,51,7,0
42,4,2,1,-807,0,344,29,0
51,2,0,2,580,1,647,7,0
36,0,2,2,-673,0,174,21,0
44,2,0,2,1609,1,310,25,0
42,5,2,2,4840,1,300,20,0
34,5,1,3,2870,1,188,12,0
36,9,1,1,5318,1,21,26,0
67,2,2,3,-1751,0,182,11,0
56,11,2,0,6383,1,346,7,0
40,5,1,1,6951,0,70,29,0
47,11,0,2,1021,0,115,25,0
21,0,0,1,4949,0,484,11,0
18,10,2,1,-269,0,62,6,0
34,8,0,0,-1396,1,81,22,0
43,5,1,3,-109,1,23,13,0
32,7,2,2,2829,0,1094,22,1
49,10,1,0,1593,0,390,9,0
46,5,2,2,3129,1,143,5,0
43,7,0,1,2586,0,8,14,0
48,11,1,3,2870,0,71,8,0
47,11,2,3,-974,0,77,5,0
35,11,1,1,796,0,25,16,0
51,6,1,3,3088,0,98,20,0
42,1,2,2,1838,1,215,15,0
54,4,2,1,-2552,0,227,12,0
41,4,1,0,1398,0,274,17,0
55,8,0,0,916,1,2,18,0
43,7,1,0,-2631,1,23,4,0
